# Forces                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  forces(pressure viscous porous)	moments(pressure viscous porous)
1                       	((1.4795514172408371e+00 -1.2701648317650042e-04 3.7330954989683636e+00) (1.3764076823611233e+00 -9.5015495344715059e-07 1.0240430032347652e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((1.2029257301173044e-04 -5.4362360077606258e-06 7.1421397325969143e-05) (-1.9863362866384397e-07 1.4064049602536879e+00 -2.2472465493424728e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
2                       	((8.3970155474469954e-01 -7.7310493263260237e-05 4.3099366043924414e+00) (6.4613257651136791e-01 -2.9568621343966627e-07 1.3260256405343077e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.2726219678084330e-05 -3.8002429054355525e-06 5.6190792422660085e-05) (-3.5364725268181174e-08 6.6279839878934577e-01 -4.9513668618117359e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
3                       	((4.0612408304587455e-01 -4.7425920588582084e-05 4.3346045155984649e+00) (4.0781883969983979e-01 -4.1543938710720019e-07 5.4751867656852825e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-9.9214274697098865e-06 -1.5600803136876920e-06 2.2128211597545287e-05) (2.1645503532545887e-07 4.2117239473848378e-01 -1.4645197369723978e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
4                       	((2.6222509221414558e-01 -4.2200482618561538e-05 4.2745350643330573e+00) (3.0817358836327063e-01 -5.0284692417987469e-07 7.6023160982866900e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((9.0224901847018799e-06 5.8476612696473161e-07 -5.2011694882023342e-05) (4.0446385111321649e-07 3.2087277167556766e-01 9.1910761544438356e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
5                       	((2.7613880881387493e-01 -4.7266370894355685e-05 4.2584381029490359e+00) (2.5176993895684857e-01 -5.6981006515285325e-07 9.4492229800320991e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.0389632742237318e-05 1.4509919317973365e-06 -1.0473130825183128e-04) (4.6806724625468269e-07 2.6443154199091157e-01 -3.3877849318629289e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
6                       	((3.3667213330405560e-01 -5.0991276692903588e-05 4.2897705698583017e+00) (2.1452552655815990e-01 -5.6150210926252512e-07 1.0858688224444555e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((4.1673907550538077e-05 1.1212756655446188e-06 -9.3500332566831464e-05) (4.9836119106196015e-07 2.2704263185419643e-01 -6.2505920777369863e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
7                       	((3.9306892131310034e-01 -4.4490317152263330e-05 4.3427230058356843e+00) (1.8763372140628368e-01 -3.8980784290636287e-07 1.2036542167535233e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((4.5854681919184435e-05 3.2686809630912689e-07 -8.4375115036933881e-05) (5.4350995269509394e-07 1.9989069318189817e-01 -6.1816802662432186e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
8                       	((4.3345564251641672e-01 -4.0136911864578417e-05 4.3979190274388484e+00) (1.6700732087150752e-01 -1.9910298219425572e-07 1.3079231392848691e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((4.4075803958522450e-05 -3.0496953377023518e-07 -7.7600046897485829e-05) (5.3262497721525655e-07 1.7902626982344652e-01 -7.4157987667680905e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
9                       	((4.6107535289534946e-01 -3.2726958327366429e-05 4.4463068931999432e+00) (1.5052710597601773e-01 -3.6235261052793738e-08 1.4083970031156228e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((4.2119279285755080e-05 -7.8038181000668834e-07 -7.5784441520296281e-05) (4.3727499489011596e-07 1.6235418608159857e-01 -6.3515753318895725e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
10                      	((4.8030463104925281e-01 -2.2966147704766166e-05 4.4852363104728203e+00) (1.3694290820986560e-01 5.4542203982866706e-08 1.5082805992426028e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.8514716316587010e-05 -1.0495660337655873e-06 -8.0260681607415685e-05) (3.4294840933225342e-07 1.4864518571098420e-01 -5.3422671145285930e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
