# Residuals             
# Time                  	p                       	nuTilda                 	Ux                      	Uy                      	Uz                      
1                       	3.1167894573711056e-02	9.9999999902723835e-01	4.4580333933180283e-02	5.8508419096120845e-01	5.0504030433437053e-01
2                       	4.5412122314831081e-03	1.2404851689699970e-02	1.5273925235731779e-02	3.8628422387534095e-01	2.6025434853284002e-01
3                       	3.9198897786041171e-03	2.8937879407805239e-03	8.4050515927063738e-03	2.7393867372862346e-01	9.9826867514805018e-02
4                       	3.6754321052990219e-03	1.3228869718623431e-03	4.4447647333163620e-03	2.6911099734242677e-01	5.2533975450206272e-02
5                       	3.4795682479688002e-03	9.7873167734213251e-04	2.8499116046985127e-03	2.5377231699460961e-01	3.2273526775704740e-02
6                       	3.2802069407819171e-03	8.2680395639352826e-04	2.5428161399873726e-03	2.1966478511299853e-01	2.1180370083775615e-02
7                       	3.1026358122626324e-03	7.5282596319969117e-04	2.1848019901487370e-03	1.9748488903123879e-01	1.5818087077704188e-02
8                       	2.9302743781739102e-03	7.2057943795590803e-04	1.8144219072779725e-03	1.8640493919380230e-01	1.2983638556181754e-02
9                       	2.7776281623069455e-03	7.1146869233470718e-04	1.5537916718833527e-03	1.7508196284812613e-01	1.0881906136001852e-02
10                      	2.6428065805275342e-03	7.1834602518641905e-04	1.3781605210428018e-03	1.6191067864175421e-01	9.1791342483864054e-03
11                      	2.5144616171622921e-03	7.3991061346885469e-04	1.2312917015498486e-03	1.4907965332497641e-01	7.8406646581688760e-03
12                      	2.3999800608795223e-03	7.7442378536707736e-04	1.1011084617625455e-03	1.3742361064574435e-01	6.7722242271040338e-03
13                      	2.3100799724361611e-03	8.2369324548939597e-04	9.9544786799522973e-04	1.2700621328663342e-01	5.8896723240882392e-03
14                      	2.2335064485742005e-03	8.8948791522208150e-04	9.1116112176834081e-04	1.1750187226164939e-01	5.1633317696265267e-03
15                      	2.1452301408563753e-03	9.7481662032304498e-04	8.3231711476604536e-04	1.0824212876053149e-01	4.5551785764448771e-03
16                      	2.0576854355387228e-03	1.0808645171946382e-03	7.6508565314111095e-04	9.9929366854215898e-02	4.0348553834662643e-03
17                      	1.9747397829079534e-03	1.2078783514783531e-03	7.1021680236554191e-04	9.2877113022893934e-02	3.5911703298028572e-03
18                      	1.8854577368983239e-03	1.3604060776545924e-03	6.6112892939880106e-04	8.6502453616041239e-02	3.2131870138174816e-03
19                      	1.7929406078559204e-03	1.5403051325913178e-03	6.1725126662632928e-04	8.0447066610788126e-02	2.8902906616077623e-03
20                      	1.7146109258697451e-03	1.7535945737746448e-03	5.8136715970726494e-04	7.5051890223939835e-02	2.6068549036512888e-03
21                      	1.6505632694306289e-03	2.0145543479807965e-03	5.4891708089656191e-04	7.0130743030396459e-02	2.3611528460713970e-03
22                      	1.5974933273147360e-03	2.3534115012277665e-03	5.1969014374613051e-04	6.5694796334880776e-02	2.1527017203005565e-03
23                      	1.5473842542665813e-03	2.8089643936359304e-03	4.9276245579578295e-04	6.1796336670477132e-02	1.9723225714711806e-03
24                      	1.4995630295404582e-03	3.4399133127013190e-03	4.6832661753422978e-04	5.8522039390136033e-02	1.8215624849034846e-03
25                      	1.4530506519288956e-03	4.3969448479902751e-03	4.4653922614231904e-04	5.5685529461328098e-02	1.6916507742549085e-03
26                      	1.4072620800012401e-03	5.9948552373071022e-03	4.2776165726483189e-04	5.3270867064703756e-02	1.5868268448247260e-03
27                      	1.3600948127863140e-03	9.2299836006087196e-03	4.1180754940253641e-04	5.1297244082443454e-02	1.5011152246254002e-03
28                      	1.3166354019905368e-03	1.9137032092431193e-02	3.9785035685197125e-04	4.9701658206581054e-02	1.4276261701777597e-03
29                      	1.2769779482045911e-03	2.1306624169046863e-02	3.8573702319645792e-04	4.8386194186598910e-02	1.3649307761575585e-03
30                      	1.2391237485226249e-03	1.0349639716468901e-02	3.7562921227903110e-04	4.7281546518861337e-02	1.3131054324248129e-03
31                      	1.2044733092751525e-03	6.9589122295571817e-03	3.6615877440883307e-04	4.6441036444765348e-02	1.2673360003908200e-03
32                      	1.1724750241331290e-03	5.3110747119812958e-03	3.5768634963313437e-04	4.5803045793669103e-02	1.2255686685760760e-03
33                      	1.1441395958770430e-03	4.3354979802531380e-03	3.4996711996417197e-04	4.5461292419261917e-02	1.1922247464731025e-03
34                      	1.1200835461775717e-03	3.6954260391536264e-03	3.4195129762871828e-04	4.5397228239943709e-02	1.1679319828406434e-03
35                      	1.1028521915274769e-03	3.2473468715654317e-03	3.3470137758436462e-04	4.5548590275563551e-02	1.1494920980069758e-03
36                      	1.0916366907204895e-03	2.9301190033222176e-03	3.2948227800567249e-04	4.5860868341171326e-02	1.1382034328732743e-03
37                      	1.0876071803056599e-03	2.7090189850259134e-03	3.2706195709714206e-04	4.6647525529564679e-02	1.1363472015947726e-03
38                      	1.0962530963196839e-03	2.5505663572197969e-03	3.2652970068719386e-04	4.8080652009897362e-02	1.1421927908682821e-03
39                      	1.1239819670093828e-03	2.4329836892862350e-03	3.2818232802426985e-04	4.9953824789459055e-02	1.1591569530007395e-03
40                      	1.1634310331105450e-03	2.3439784342527276e-03	3.3269509609462129e-04	5.1780249435452959e-02	1.1878920791760731e-03
41                      	1.2034647652454534e-03	2.2760980248223406e-03	3.3965060191494398e-04	5.3565767009152269e-02	1.2266725956920747e-03
42                      	1.2316218289262632e-03	2.2269234320982782e-03	3.4827948997388227e-04	5.4986541130824886e-02	1.2627053839736422e-03
43                      	1.2545099213689395e-03	2.1815677327021803e-03	3.5648298092804689e-04	5.5949847180317994e-02	1.2960270534164962e-03
