# Force coefficients    
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 4.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  	Cm                      	Cd                      	Cl                      	Cl(f)                   	Cl(r)                   
1                       	4.9860791372846125e-01	1.2333724285123053e+00	1.8677073907150770e+00	1.4324616090859998e+00	4.3524578162907723e-01
2                       	2.3530436998359175e-01	6.5021364123129677e-01	2.1547874013817463e+00	1.3126980706744649e+00	8.4208933070728142e-01
3                       	1.4964778811649304e-01	3.4657511419647957e-01	2.1696220483824402e+00	1.2344588123077131e+00	9.3516323607472707e-01
4                       	1.1414640197591644e-01	2.3988388450419151e-01	2.1407262957229585e+00	1.1845095498373956e+00	9.5621674588556282e-01
5                       	9.4289395236268475e-02	2.2803935826658536e-01	2.1338783858523369e+00	1.1612285881624369e+00	9.7264979768990001e-01
6                       	8.1145887583590440e-02	2.4677167593558613e-01	2.1508375139418456e+00	1.1565646445545132e+00	9.9427286938733239e-01
7                       	7.1597003720051872e-02	2.6674639492313335e-01	2.1784120201410220e+00	1.1608030137905629e+00	1.0176090063504590e+00
8                       	6.4250550990491109e-02	2.8043384144285877e-01	2.2068580762011467e+00	1.1676795890910645e+00	1.0391784871100822e+00
9                       	5.8370065713077547e-02	2.8867024735982127e-01	2.2317654678334748e+00	1.1742527996298149e+00	1.0575126682036600e+00
10                      	5.3528265680199159e-02	2.9326904888743860e-01	2.2517583699944446e+00	1.1794074506774215e+00	1.0723509193170231e+00
11                      	4.9457911676172209e-02	2.9597101206915183e-01	2.2667801172295663e+00	1.1828479702909553e+00	1.0839321469386110e+00
12                      	4.5980457021589066e-02	2.9776044653595535e-01	2.2774201764807795e+00	1.1846905452619789e+00	1.0927296312188006e+00
13                      	4.2990237436454033e-02	2.9924295703092774e-01	2.2847104122470983e+00	1.1853454435600033e+00	1.0993649686870950e+00
14                      	4.0375701798359004e-02	3.0018244429290064e-01	2.2891523454927087e+00	1.1849518745447134e+00	1.1042004709479953e+00
15                      	3.8070596372454843e-02	3.0131434127591661e-01	2.2904829119265973e+00	1.1833120523357534e+00	1.1071708595908438e+00
16                      	3.6024965545243579e-02	3.0256011019085655e-01	2.2888106582095817e+00	1.1804302946500345e+00	1.1083803635595473e+00
17                      	3.4199682634760475e-02	3.0368366651835899e-01	2.2846233699664289e+00	1.1765113676179748e+00	1.1081120023484541e+00
18                      	3.2565349469830654e-02	3.0497514332247044e-01	2.2778371035799427e+00	1.1714839012598020e+00	1.1063532023201408e+00
19                      	3.1097926390494603e-02	3.0709228871921290e-01	2.2685252439040546e+00	1.1653605483425220e+00	1.1031646955615326e+00
20                      	2.9778347730800764e-02	3.1042129890894554e-01	2.2569791996366071e+00	1.1582679475491042e+00	1.0987112520875029e+00
21                      	2.8590242727375564e-02	3.1460306687701745e-01	2.2431329978676029e+00	1.1501567416611771e+00	1.0929762562064258e+00
22                      	2.7518898814465238e-02	3.1918956587800235e-01	2.2266343612168469e+00	1.1408360794228887e+00	1.0857982817939582e+00
23                      	2.6552152963576763e-02	3.2436669591466494e-01	2.2076677041918678e+00	1.1303860050595107e+00	1.0772816991323571e+00
